review_id,user_id,business_id,stars,useful,funny,cool,text,date
s9ieTQEl3ImVSkTRrP4-3g,fr1Hz2acAb3OaL3l6DyKNg,T3muepcwD45gHLWcpaNNDQ,4,5,1,7,"See's candies is California base bakery reach Florida. I know about this candies when my wife living in California. Their chocolate is very soft and tasty. 

In Tampa, the International Plaza Mall has this temporary store from Thanksgiving to Easter. They located very close to H&M clothing store. You can have samples before you buy it. I got the lollipop candies. I also bought one assorted chocolate candies. They are very good. The store clerk was kind enough to let us try their assorted chocolate other their typical sample candies. 

You can go with chocolate with nut, mint, toffee, milk, white or dark chocolate. All are good. Guilty pleasure with a touch at sweet side. Mail order through the web also available. If you close to the mall, just go to buy one without shipping.",2016-12-04 05:36:48
FTax2GLIJRbHbEBUE82_pA,JggphOM7FIbvUyPcsfcNTw,9gObo5ltOMo6UgsaXaHPWA,5,5,2,2,"Second stop for Center City Restaurant Week:  R2L, dinner for $35 each. 

On the 37th floor of Two Liberty Place is a very fancy-cool restaurant/lounge where you can get a bird's eye view of the city! Group of us went to dinner here together after a day of meetings. Didn't get one of the tables facing the windows, but still had great views of the sunset and city by night. Again, multiple choices for the three courses, but I chose to start with the crisp peas/ham/garlic risotto [balls]. Main course was the Butcher's Filet (braised short rib + Steuben bean chili, potato/farm veg slaw and basil), which was quite heavy since there was also meat in the chili as well. The dazzling dessert to finish it off was the milk chocolate + hazelnut pudding served with salted caramel and coffee to melt the chocolate, and candied almonds on the side. A bottle of wine for the table as well. Food was great, waiter was awesome (making sure to warn me that the risotto came in ball form rather than a bowl, for instance), very classy experience.",2015-09-24 00:57:49
PCxW8IqqvCODd9Tr_XFjlQ,_LG_1zjLB8gWjN294Xjc5Q,WmzwJXyBdqsZCZ254XDrtQ,5,0,0,1,Becca is an awesome bartender. They have awesome happy hour specials including land shark. The food menu is somewhat limited but the service at the bar is great. We hope they can keep up the business and attract more locals.,2016-08-03 22:50:36
a32cWIjFXAuKHz1hP_kkFA,dMrmnopCJ0xxEuG7WMCtWw,_TANOcxwIOmQhk1mnXaj7w,1,0,0,0,"Bummer, just moved to this area and this was my first visit to this location.  I didn't receive my change or receipt,  it was just change but I asked for it and she said she gave it to me, um no. Was in a hurry so I didn't wanna argue.  And no spoon for my chili. Cheese on my burger was old, which means my burger wasn't freshly made. Tasted ok but won't return.",2015-04-15 17:11:10
aJBV9CklyQQ0mH-tKg_oGw,3x69a8OGyReKirigOk8Nww,WW8WN8J89M3U4z1xP4MhnA,4,1,0,0,"They have great prices if you order family style. We tried the pot roast and it was just as good carry out as it would have been at the restaurant. They packaged everything nicely and it stayed warm after the 30 min car ride. There was definitely enough for a family of 4. The green beans were amazing! I would definitely recommend. It's nothing special, just a good family restaurant",2017-06-28 00:33:19
ULzbgT5SPThiMOoo4a_Adw,veBX5roHQLNnQ1rTtNh_gg,aJvxWyQIG5OLfBw3qAe8xA,2,0,0,0,"Ordered Caramel frappe at Drive thru, BIG MISTAKE! Took 30 min and there were only 2 cars in front of me.",2017-12-29 19:38:31
k8JV9gw_XKGF17UigEo52g,nvoyRuO4r0RPoeCGZdTGbQ,YUUMXtU66B4rxwJohSQm7A,4,0,0,0,"This place is amazing! The pizza cookies are a must. It came hot, soft, and crazy delicious. 

We tried the Peanut butter pizza cookie and the Oreo cookies, and both were perfection. I'm very eager to try other flavors. Also, being open until 3am is the smartest decision of any bakery in America. 

The only reason I'm not giving a 5 is because of the prices. But, to be honest, those late nights when all I want is a fresh baked cookie pizza, I'd be willing to pay $50.",2016-03-07 06:36:15
nDH6ctdQskr7_V_ot3_mVw,mzXDuhZBPdHfMIk1YXP0mQ,mUIBtlWNPD7sz3rGGWQ1RA,5,3,0,1,"I moved from Chicago to Philadelphia over a year ago.  Everybody here raves about the restaurants, but I have yet to find many that deserve five stars, or even four.  This is the best restaurant I have eaten in in Philadelphia.  

Tahini and bread  arrived at the table, and I thought, hum, plain but I'm hungry.  They must put crack in that Tahini.  I wanted to lap it out of the bowl like an uncouth dog.  The bread is excellent too.

I love a menu with many organic meat choices.  How often can you order an organic beef shishkabob?  It was superb.  The meat done perfectly, the onions nearly caramelized but not quite so they still had some substantive crunch.  The purslane salad tasted like I was eating a plant in the middle of a garden.  It is not often that I dream about a salad but I do dream about this one

My husband had a chicken dish with black eyed peas and green peas and fantastic rice.  I won't begin to describe the flavoring; it is beyond my culinary vocabulary.  We asked what spices they use, and in addition to traditional zatar, they use their own blend of spices.  I don't even need to know what is in it just so long as we can keep coming back and ordering it again and again.

I was so full but ate dessert none the less, which I usually don't do.  But when a diner is this good, I had a feeling the desserts would be too and I just needed to find out.  Pistachio creme brulee.  It could have come out over the top, but no indeed.  It was pure pistachio heaven in s super light yet rich custard.  Heaven. Heaven.

Our service was superb.  The squeezed us into a last minute Friday night reservation with the caveat that we would need to get through our dinner in an hour and 15 minutes in order to accommodate a reservation made prior to us.  Given the time constraints they never made us feel rushed and timed the meal perfectly.  Then my husband left to go to the restroom, the waiter picked up his napkin and refolded it nicely on the table.  Do I care about the napkin placement in the middle of a meal?  Not really, but it is a sign that the waitstaff is incredibly attentive and extremely well trained.  

My eating out plan for Philly might just be to skip eating most everywhere most of the time so I can frequent this expensive, though appropriately priced restaurant.  Kudos to the chef.",2013-08-03 15:34:15
y1CYqccQLsn8GGXYS4q6tQ,BmThnFPDalpbC1x98aXKaw,VbItL6RDULtnw4YvB6EhVg,1,4,4,3,They served me a frozen pizza and skunked beer.  'Nuff said.,2008-04-30 14:54:01
OMUO1w4zd02SWAtdPOOmDw,V5N8EVTjBlCiUzD72Rov2Q,V378VWx4D8BstWNRFwDULg,1,0,0,0,Whole family got sick after eating here. The frozen yogurt was pretty but did not taste good. Would not go here again or recommend it.,2018-07-08 01:39:26
